Date,Inflow_Total_cfs,Inflow_Total_AF,Total_Outflow_cfs,Total_Outflow_AF,Power_Release_cfs,Power_Release_AF,River_Outlet_Release_cfs,River_Outlet_Release_AF,InflowTemp_degF,Gate_Upp,Gate_Mid,Gate_PRG,Gate_SDG,Riv_Upp,Riv_Mid,Riv_Bot,Wind_msec,Wind_TKE_Term,AirTemp_degC,AirTemp_degF,SolRad_Wm2,SolRad_gridMet_Wm2,Precip_mm,Precip_in,Tdew_degC,Evap_cfs,Storage_AF,Tw_Temp_degF,Area_ac,PrecipVol_AF,Inflow_minus_precip_AF,Precip_in_allzeros,Tw_target_degF
1/1/2000,4118,8167.933884,4796,9512.727273,4800,9520.661157,0,0,42.69805881,0,5,0,0,0,0,0,1.204736111,1.603075332,3.953833333,39.1169,43.16666667,72.1,0.762,0.03,2.326886722,42,3226056,52.7375,23795.53608,59.4888402,8108.445044,0,52.67291667
1/2/2000,5118,10151.40496,4878,9675.371901,4881,9681.322314,0,0,42.75176427,0,5,0,0,0,0,0,1.320555556,28.63463779,2.425555556,36.366,94.45833333,49.5,1,0.039370079,-0.155439151,0,3226532,52.60833333,23797.8918,78.07707284,10073.32789,0,52.59861111
1/3/2000,4644,9211.239669,4743,9407.603306,4746,9413.553719,0,0,42.54121705,0,5,0,0,0,0,0,1.117083333,1.455119565,4.981875,40.967375,87.79166667,86.3,0,0,1.172682941,21,3226294,52.45,23796.71394,0,9211.239669,0,52.45
1/4/2000,5279,10470.7438,4919,9756.694215,4921,9760.661157,0,0,42.62475749,0,5,0,0,0,0,0,1.092083333,1.395560949,4.760902778,40.569625,79.95833333,32.3,0.762,0.03,2.892771236,0,3227009,52.29166667,23800.25247,59.50063119,10411.24317,0,52.30833333
1/5/2000,4211,8352.396694,4890,9699.173554,4893,9705.123967,0,0,42.33157483,0,5,0,0,0,0,0,4.592916667,538.5573074,4.981180556,40.966125,109,102.7,0,0,1.175554326,42,3225579,52.18333333,23793.17541,0,8352.396694,0,52.14166667
1/6/2000,4710,9342.14876,4619,9161.652893,4621,9165.619835,0,0,42.32998109,0,5,0,0,0,0,0,1.883333333,43.25966396,5.305,41.549,51.58333333,76.1,0,0,2.591281647,91,3225579,51.95,23793.17541,0,9342.14876,0,52.04133863
1/7/2000,5513,10934.87603,4517,8959.338843,4445,8816.528926,0,74,42.61342784,0,5,0,0,0,0,0,2.5075,33.63322546,5.305,41.549,98.79166667,99.1,0,0,2.591281647,35,3227485,51.99068256,23802.6082,0,10934.87603,0,51.85117193
1/8/2000,4338,8604.297521,4529,8983.140496,4531,8987.107438,0,0,42.55338759,0,5,0,0,0,0,0,0.502083333,0.601128801,5.305,41.549,90.70833333,81,0,0,2.591281647,49,3227009,51.61283323,23800.25247,0,8604.297521,0,51.73728304
1/9/2000,3942,7818.842975,4415,8757.024793,4384,8695.53719,0,0,42.49752245,0,5,0,0,0,0,0,0.792486111,0.94162514,5.545458333,41.981825,37.875,44,0,0,3.973991588,7,3226056,51.60833333,23795.53608,0,7818.842975,0,51.52511108
1/10/2000,6085,12069.42149,4524,8973.22314,4526,8977.190083,0,0,42.83253466,0,5,0,0,0,0,0,7.853229167,2727.452859,9.125486111,48.425875,52.33333333,35.7,0.508,0.02,7.640208992,0,3229153,51.35416667,23810.86313,39.68477188,12029.73672,0,51.36111111
